Year,Value
['1900'],[-33.33]
['1901'],[-32.97]
['1902'],[-32.61]
['1903'],[-32.24]
['1904'],[-31.88]
['1905'],[-31.52]
['1906'],[-31.16]
['1907'],[-30.8]
['1908'],[-30.44]
['1909'],[-30.08]
['1910'],[-29.71]
['1911'],[-29.35]
['1912'],[-28.99]
['1913'],[-28.63]
['1914'],[-28.27]
['1915'],[-27.91]
['1916'],[-27.55]
['1917'],[-27.19]
['1918'],[-26.82]
['1919'],[-26.46]
['1920'],[-26.1]
['1921'],[-25.74]
['1922'],[-25.38]
['1923'],[-25.02]
['1924'],[-24.66]
['1925'],[-24.29]
['1926'],[-23.93]
['1927'],[-23.57]
['1928'],[-23.21]
['1929'],[-22.85]
['1930'],[-22.49]
['1931'],[-22.13]
['1932'],[-21.76]
['1933'],[-21.4]
['1934'],[-21.04]
['1935'],[-20.68]
['1936'],[-20.32]
['1937'],[-19.96]
['1938'],[-19.6]
['1939'],[-19.24]
['1940'],[-18.87]
['1941'],[-18.51]
['1942'],[-18.15]
['1943'],[-17.79]
['1944'],[-17.43]
['1945'],[-17.07]
['1946'],[-16.71]
['1947'],[-16.34]
['1948'],[-15.98]
['1949'],[-15.62]
['1950'],[-15.26]
['1951'],[-14.9]
['1952'],[-14.54]
['1953'],[-14.18]
['1954'],[-13.81]
['1955'],[-13.45]
['1956'],[-13.09]
['1957'],[-12.73]
['1958'],[-12.37]
['1959'],[-12.01]
['1960'],[-11.65]
['1961'],[-11.29]
['1962'],[-10.92]
['1963'],[-10.56]
['1964'],[-10.2]
['1965'],[-9.84]
['1966'],[-9.48]
['1967'],[-9.12]
['1968'],[-8.76]
['1969'],[-8.39]
['1970'],[-8.03]
['1971'],[-7.67]
['1972'],[-7.31]
['1973'],[-6.95]
['1974'],[-6.59]
['1975'],[-6.23]
['1976'],[-5.86]
['1977'],[-5.5]
['1978'],[-5.14]
['1979'],[-4.78]
['1980'],[-4.42]
['1981'],[-4.06]
['1982'],[-3.7]
['1983'],[-3.34]
['1984'],[-2.97]
['1985'],[-2.61]
['1986'],[-2.25]
['1987'],[-1.89]
['1988'],[-1.53]
['1989'],[-1.17]
['1990'],[-0.81]
['1991'],[-0.44]
['1992'],[-0.08]
['1993'],[0.28]
['1994'],[0.64]
['1995'],[1.]
['1996'],[1.36]
['1997'],[1.72]
['1998'],[2.09]
['1999'],[2.45]
['2000'],[2.81]
['2001'],[3.17]
['2002'],[3.53]
['2003'],[3.89]
['2004'],[4.25]
['2005'],[4.62]
['2006'],[4.98]
['2007'],[5.34]
['2008'],[5.7]
['2009'],[6.06]
['2010'],[6.42]
['2011'],[6.78]
['2012'],[7.14]
['2013'],[7.51]
['2014'],[7.87]
['2015'],[8.23]
['2016'],[8.59]
['2017'],[8.95]
['2018'],[9.31]
['2019'],[9.67]
['2020'],[10.04]
['2021'],[10.4]
['2022'],[10.76]
['2023'],[11.12]
['2024'],[11.48]
['2025'],[11.84]
['2026'],[12.2]
['2027'],[12.56]
['2028'],[12.93]
['2029'],[13.29]
['2030'],[13.65]
['2031'],[14.01]
['2032'],[14.37]
['2033'],[14.73]
['2034'],[15.09]
['2035'],[15.46]
['2036'],[15.82]
['2037'],[16.18]
['2038'],[16.54]
['2039'],[16.9]
['2040'],[17.26]
['2041'],[17.62]
['2042'],[17.99]
['2043'],[18.35]
['2044'],[18.71]
['2045'],[19.07]
['2046'],[19.43]
['2047'],[19.79]
['2048'],[20.15]
['2049'],[20.51]
['2050'],[20.88]
['2051'],[21.24]
['2052'],[21.6]
['2053'],[21.96]
['2054'],[22.32]
['2055'],[22.68]
['2056'],[23.04]
['2057'],[23.41]
['2058'],[23.77]
['2059'],[24.13]
['2060'],[24.49]
['2061'],[24.85]
['2062'],[25.21]
['2063'],[25.57]
['2064'],[25.94]
['2065'],[26.3]
['2066'],[26.66]
['2067'],[27.02]
['2068'],[27.38]
['2069'],[27.74]
['2070'],[28.1]
['2071'],[28.47]
['2072'],[28.83]
['2073'],[29.19]
['2074'],[29.55]
['2075'],[29.91]
['2076'],[30.27]
['2077'],[30.63]
['2078'],[30.99]
['2079'],[31.36]
['2080'],[31.72]
['2081'],[32.08]
['2082'],[32.44]
['2083'],[32.8]
['2084'],[33.16]
['2085'],[33.52]
['2086'],[33.89]
['2087'],[34.25]
['2088'],[34.61]
['2089'],[34.97]
['2090'],[35.33]
['2091'],[35.69]
['2092'],[36.05]
['2093'],[36.41]
['2094'],[36.78]
['2095'],[37.14]
['2096'],[37.5]
['2097'],[37.86]
['2098'],[38.22]
['2099'],[38.58]
['2100'],[38.94]
['2101'],[39.31]
['2102'],[39.67]
['2103'],[40.03]
['2104'],[40.39]
['2105'],[40.75]
['2106'],[41.11]
['2107'],[41.47]
['2108'],[41.84]
['2109'],[42.2]
['2110'],[42.56]
['2111'],[42.92]
['2112'],[43.28]
['2113'],[43.64]
['2114'],[44.]
['2115'],[44.37]
['2116'],[44.73]
['2117'],[45.09]
['2118'],[45.45]
['2119'],[45.81]
['2120'],[46.17]
['2121'],[46.53]
['2122'],[46.89]
['2123'],[47.26]
['2124'],[47.62]
['2125'],[47.98]
['2126'],[48.34]
['2127'],[48.7]
['2128'],[49.06]
['2129'],[49.42]
['2130'],[49.79]
['2131'],[50.15]
['2132'],[50.51]
['2133'],[50.87]
['2134'],[51.23]
['2135'],[51.59]
['2136'],[51.95]
['2137'],[52.31]
['2138'],[52.68]
['2139'],[53.04]
['2140'],[53.4]
['2141'],[53.76]
['2142'],[54.12]
['2143'],[54.48]
['2144'],[54.84]
['2145'],[55.21]
['2146'],[55.57]
['2147'],[55.93]
['2148'],[56.29]
['2149'],[56.65]
['2150'],[57.01]
['2151'],[57.37]
['2152'],[57.74]
['2153'],[58.1]
['2154'],[58.46]
['2155'],[58.82]
['2156'],[59.18]
['2157'],[59.54]
['2158'],[59.9]
['2159'],[60.26]
['2160'],[60.63]
['2161'],[60.99]
['2162'],[61.35]
['2163'],[61.71]
['2164'],[62.07]
['2165'],[62.43]
['2166'],[62.79]
['2167'],[63.16]
['2168'],[63.52]
['2169'],[63.88]
['2170'],[64.24]
['2171'],[64.6]
['2172'],[64.96]
['2173'],[65.32]
['2174'],[65.69]
['2175'],[66.05]
['2176'],[66.41]
['2177'],[66.77]
['2178'],[67.13]
['2179'],[67.49]
['2180'],[67.85]
['2181'],[68.22]
['2182'],[68.58]
['2183'],[68.94]
['2184'],[69.3]
['2185'],[69.66]
['2186'],[70.02]
['2187'],[70.38]
['2188'],[70.74]
['2189'],[71.11]
['2190'],[71.47]
['2191'],[71.83]
['2192'],[72.19]
['2193'],[72.55]
['2194'],[72.91]
['2195'],[73.27]
['2196'],[73.64]
['2197'],[74.]
['2198'],[74.36]
['2199'],[74.72]
['2200'],[75.08]
